cégnév;cím;email;irányítószám;lat;lng;megye;megye_label;telefon;település;tevékenységek
Alföldvill Kft.;;info@alfoldvill.hu;;47.18691;20.41363;;;;;Split-klíma telepítés | Háztartási hőszivattyú telepítés | Klímarendszer telepítés (VRV) | Kis hűtőberendezés telepítés
Bardán Kft.;;bardankft@gmail.com;;47.50799;19.18764;;;+36209344796;;Split-klíma telepítés | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Kis hűtőberendezés telepítés
Finta József egyéni vállalkozó;;klimamozaik@gmail.com;;47.28217;19.53082;;;+36306020024;;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Vidák Zoltán egyéni vállalkozó;;hidegbolmeleget@gmail.com;;47.66454;19.64892;;;+36706170223;;Split-klíma telepítés | Háztartási hőszivattyú telepítés
BlueTech-Therm Kft.;Toldi utca 43;bluetechtherm@gmail.com;7761;46.04923;18.28718;Baranya;Baranya;+36202917727;Kozármisleny;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Corsil Generál Kft.;Ifjúság útja 42. 1. em. 1.;corsilgeneral@gmail.com;7300;46.18949;18.24449;Baranya;Baranya;+36704260080;Komló;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Happ Gergő egyéni vállalkozó;Kossuth Lajos utca 24.;happgergo@freemail.hu;7936;46.15599;17.83587;Baranya;Baranya;+36309342857;Szentlászló;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
JAKSI-SZER Kft.;Alkotmány u. 2/c;info@jaksiszer.hu;7300;46.19269;18.26682;Baranya;Baranya;+36305387608;Komló;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Klímarendszer telepítés (VRV)
Kiss Tibor egyéni vállalkozó;Munkácsy Mihály utca 1.;kiss.tibor@htcomfortkft.hu;7300;46.19043;18.24610;Baranya;Baranya;+36304242252;Komló;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Klímagroup Kft;József Attila 5;info@klimagroup.hu;7761;46.04032;18.28695;Baranya;Baranya;+36205564065;Kozármisleny;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Super Cool Hűtés - Fűtés - Klíma Szolgáltató Korlátolt Felelősségű Társaság;Helyrajzi szám 2183;supercoolkft@gmail.com;7351;46.27197;18.40102;Baranya;Baranya;+36706378877;Máza;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
AIRTHERM HUNGÁRIA Épületgépészeti Kivitelező és Kereskedelmi Korlátolt Felelősségű Társaság;Miskolc József A. u. 57.;airthermkft@gmail.com;3501;48.10724;20.81459;Borsod-Abaúj-Zemplén;Borsod-Abaúj-Zemplén;+36302070560;Miskolc;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Balla-Klíma Hűtő- és Klímatechnikai, Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság;Bem József út 2;balla-klima@freemail.hu;3715;48.10214;20.96796;Borsod-Abaúj-Zemplén;Borsod-Abaúj-Zemplén;309550733;Gesztely;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Dr. Lénárt Attila egyéni vállalkozó;Béke 30;attila.lenart.80@gmail.com;3757;48.44295;20.58755;Borsod-Abaúj-Zemplén;Borsod-Abaúj-Zemplén;302053740;Égerszög;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés szerviz
Fridgy-Top Kft.;Ady Endre út 18.;fabian.lajos@fridgy-top.hu;3744;48.27151;20.68232;Borsod-Abaúj-Zemplén;Borsod-Abaúj-Zemplén;+36204155878;Múcsony;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Fény-hő-komfort Kft;Fő utca 6.;fenyhokomfortkft@gmail.com;3992;48.42549;21.54998;Borsod-Abaúj-Zemplén;Borsod-Abaúj-Zemplén;+36703293863;Vágáshuta;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Heat Impact Kft.;Rákóczi Ferenc utca 23.;heatimpactkft@gmail.com;3958;48.33297;21.53008;Borsod-Abaúj-Zemplén;Borsod-Abaúj-Zemplén;+36204050809;Hercegkút;Split-klíma telepítés | Háztartási hőszivattyú telepítés | Klímarendszer telepítés (VRV)
Majoros Márk Dávid egyéni vállalkozó (Optimal Air Solutions);Esze Tamás utca 20.;optimalairsolutions2017@gmail.com;3980;48.39477;21.65257;Borsod-Abaúj-Zemplén;Borsod-Abaúj-Zemplén;+36204565877;Sátoraljaújhely;Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz
